datetime,parking,pourcentage
2023-06-21T19:43:17,MALRAUX,61
2023-06-21T19:43:17,MONGE,92
2023-06-21T19:43:17,SAINTE-ANNE,75
2023-06-21T19:43:17,TIVOLI,97
2023-06-21T19:43:17,TREMOUILLE,100
2023-06-21T20:16:28,CLEMENCEAU,68
2023-06-21T20:16:28,CONDORCET,95
2023-06-21T20:16:28,DARCY,90
2023-06-21T20:16:28,DAUPHINE,100
2023-06-21T20:16:28,GRANGIER,49
2023-06-21T20:16:28,MALRAUX,61
2023-06-21T20:16:28,MONGE,83
2023-06-21T20:16:28,SAINTE-ANNE,75
2023-06-21T20:16:28,TIVOLI,96
2023-06-21T20:16:28,TREMOUILLE,95
2023-06-21T20:43:12,CLEMENCEAU,57
2023-06-21T20:43:12,CONDORCET,89
2023-06-21T20:43:12,DARCY,81
2023-06-21T20:43:12,DAUPHINE,100
2023-06-21T20:43:12,GRANGIER,49
2023-06-21T20:43:12,MALRAUX,59
2023-06-21T20:43:12,MONGE,65
2023-06-21T20:43:12,SAINTE-ANNE,75
2023-06-21T20:43:12,TIVOLI,91
2023-06-21T20:43:12,TREMOUILLE,90
2023-06-21T21:16:07,CLEMENCEAU,57
2023-06-21T21:16:07,CONDORCET,77
2023-06-21T21:16:07,DARCY,65
2023-06-21T21:16:07,DAUPHINE,100
2023-06-21T21:16:07,GRANGIER,47
2023-06-21T21:16:07,MALRAUX,55
2023-06-21T21:16:07,MONGE,48
2023-06-21T21:16:07,SAINTE-ANNE,74
2023-06-21T21:16:07,TIVOLI,82
2023-06-21T21:16:07,TREMOUILLE,82
2023-06-21T21:43:16,CLEMENCEAU,56
2023-06-21T21:43:16,CONDORCET,72
2023-06-21T21:43:16,DARCY,57
2023-06-21T21:43:16,DAUPHINE,100
2023-06-21T21:43:16,GRANGIER,47
2023-06-21T21:43:16,MALRAUX,54
2023-06-21T21:43:16,MONGE,34
2023-06-21T21:43:16,SAINTE-ANNE,74
2023-06-21T21:43:16,TIVOLI,71
2023-06-21T21:43:16,TREMOUILLE,77
2023-06-21T22:15:55,CLEMENCEAU,55
2023-06-21T22:15:55,CONDORCET,67
2023-06-21T22:15:55,DARCY,51
2023-06-21T22:15:55,DAUPHINE,100
2023-06-21T22:15:55,GRANGIER,47
2023-06-21T22:15:55,MALRAUX,53
2023-06-21T22:15:55,MONGE,21
2023-06-21T22:15:55,SAINTE-ANNE,73
2023-06-21T22:15:55,TIVOLI,59
2023-06-21T22:15:55,TREMOUILLE,73
2023-06-21T22:43:16,CLEMENCEAU,54
2023-06-21T22:43:16,CONDORCET,64
2023-06-21T22:43:16,DARCY,48
2023-06-21T22:43:16,DAUPHINE,100
2023-06-21T22:43:16,GRANGIER,47
2023-06-21T22:43:16,MALRAUX,51
2023-06-21T22:43:16,MONGE,16
2023-06-21T22:43:16,SAINTE-ANNE,73
2023-06-21T22:43:16,TIVOLI,57
2023-06-21T22:43:16,TREMOUILLE,71
2023-06-21T23:16:16,CLEMENCEAU,55
2023-06-21T23:16:16,CONDORCET,61
2023-06-21T23:16:16,DARCY,46
2023-06-21T23:16:16,DAUPHINE,100
2023-06-21T23:16:16,GRANGIER,47
2023-06-21T23:16:16,MALRAUX,50
2023-06-21T23:16:16,MONGE,14
2023-06-21T23:16:16,SAINTE-ANNE,73
2023-06-21T23:16:16,TIVOLI,53
2023-06-21T23:16:16,TREMOUILLE,69
2023-06-21T23:43:23,CLEMENCEAU,55
2023-06-21T23:43:23,CONDORCET,60
2023-06-21T23:43:23,DARCY,44
2023-06-21T23:43:23,DAUPHINE,100
2023-06-21T23:43:23,GRANGIER,46
2023-06-21T23:43:23,MALRAUX,49
